0=1,Bm.BGO.i0
1=1,Bm.BGO.i1
100=1,Bm.Garbage.01_00_00
1000=1,Bm.Garbage.10_00_00
1000=1,Bm.Garbage.10_00_01
1000=1,Bm.Garbage.10_00_02
1000=1,Bm.Garbage.10_00_03
1000=1,Bm.Garbage.10_00_04
1001=1,Bm.Garbage.10_01_00
1001=1,Bm.Garbage.10_01_01
1001=1,Bm.Garbage.10_01_02
1001=1,Bm.Garbage.10_01_03
1001=1,Bm.Garbage.10_01_04
1002=1,Bm.Garbage.10_02_00
1002=1,Bm.Garbage.10_02_01
1002=1,Bm.Garbage.10_02_02
1002=1,Bm.Garbage.10_02_03
1002=1,Bm.Garbage.10_02_04
1003=1,Bm.Garbage.10_03_00
1003=1,Bm.Garbage.10_03_01
1003=1,Bm.Garbage.10_03_02
1003=1,Bm.Garbage.10_03_03
1003=1,Bm.Garbage.10_03_04
1004=1,Bm.Garbage.10_04_00
1004=1,Bm.Garbage.10_04_01
1004=1,Bm.Garbage.10_04_02
1004=1,Bm.Garbage.10_04_03
1004=1,Bm.Garbage.10_04_04
1005=1,Bm.Garbage.10_05_00
1005=1,Bm.Garbage.10_05_01
1005=1,Bm.Garbage.10_05_02
1005=1,Bm.Garbage.10_05_03
1005=1,Bm.Garbage.10_05_04
101=1,Bm.Garbage.01_00_00
102=1,Bm.Garbage.01_01_00
103=1,Bm.Garbage.01_01_00
104=1,Bm.Garbage.01_02_00
105=1,Bm.Garbage.01_03_00
2=1,Bm.BGO.i2
200=1,Bm.Garbage.02_00_00
200=1,Bm.Garbage.02_00_01
201=1,Bm.Garbage.02_01_00
201=1,Bm.Garbage.02_01_01
202=1,Bm.Garbage.02_02_00
202=1,Bm.Garbage.02_02_01
203=1,Bm.Garbage.02_03_00
203=1,Bm.Garbage.02_03_01
204=1,Bm.Garbage.02_04_00
204=1,Bm.Garbage.02_04_01
205=1,Bm.Garbage.02_05_00
205=1,Bm.Garbage.02_05_01
3=1,Bm.BGO.i3
300=1,Bm.Garbage.03_01_00
300=1,Bm.Garbage.03_01_01
301=1,Bm.Garbage.03_02_00
301=1,Bm.Garbage.03_02_01
302=1,Bm.Garbage.03_03_00
302=1,Bm.Garbage.03_03_01
303=2,Bm.Garbage.03_02_00
303=2,Bm.Garbage.03_02_01
303=1,Bm.Garbage.03_03_00
303=1,Bm.Garbage.03_03_01
304=3,Bm.Garbage.03_03_00
304=3,Bm.Garbage.03_03_01
304=1,Bm.Garbage.03_04_00
304=1,Bm.Garbage.03_04_01
305=3,Bm.Garbage.03_03_00
305=3,Bm.Garbage.03_03_01
305=2,Bm.Garbage.03_04_00
305=2,Bm.Garbage.03_04_01
305=1,Bm.Garbage.03_05_00
305=1,Bm.Garbage.03_05_01
305=1,Bm.Garbage.03_05_02
305=1,Bm.Garbage.03_05_03
4=1,Bm.BGO.i4
400=1,Bm.Garbage.04_01_00
400=1,Bm.Garbage.04_01_01
401=1,Bm.Garbage.04_02_00
401=1,Bm.Garbage.04_02_01
402=2,Bm.Garbage.04_02_00
402=2,Bm.Garbage.04_02_01
402=1,Bm.Garbage.04_03_01
402=2,Bm.Garbage.02_02_00
402=2,Bm.Garbage.02_02_01
403=1,Bm.Garbage.04_03_00
403=1,Bm.Garbage.04_03_01
403=1,Bm.Garbage.02_03_00
403=1,Bm.Garbage.02_03_01
404=3,Bm.Garbage.04_03_00
404=3,Bm.Garbage.04_03_01
404=1,Bm.Garbage.04_04_00
404=1,Bm.Garbage.04_04_01
405=3,Bm.Garbage.04_03_00
405=3,Bm.Garbage.04_03_01
405=2,Bm.Garbage.04_04_00
405=2,Bm.Garbage.04_04_01
405=1,Bm.Garbage.04_05_00
405=1,Bm.Garbage.04_05_01
405=1,Bm.Garbage.04_05_02
405=1,Bm.Garbage.04_05_03
5=1,Bm.BGO.i5
500=1,Bm.Garbage.04_01_00
500=1,Bm.Garbage.04_01_01
501=1,Bm.Garbage.03_02_00
501=1,Bm.Garbage.03_02_01
502=2,Bm.Garbage.04_02_00
502=2,Bm.Garbage.03_02_01
502=1,Bm.Garbage.04_03_01
503=1,Bm.Garbage.03_03_00
503=1,Bm.Garbage.03_03_01
504=3,Bm.Garbage.04_03_00
504=3,Bm.Garbage.03_03_01
504=1,Bm.Garbage.04_04_00
504=1,Bm.Garbage.03_03_01
505=3,Bm.Garbage.04_03_00
505=3,Bm.Garbage.03_03_01
505=2,Bm.Garbage.04_04_00
505=2,Bm.Garbage.04_04_01
505=1,Bm.Garbage.04_05_00
505=1,Bm.Garbage.04_05_01
505=1,Bm.Garbage.04_05_02
505=1,Bm.Garbage.04_05_03
