1=Assiu Aeliscken
10=Elchima Hariyam
11=Anyon Gutenla
12=Ulisandora Laishe
13=Iliun Hannibis
14=Ieveira Sarckei
15=Aelyast Shashine
16=Aramallo Pungiada
17=Ulgan Camendinei
18=Aldasis Bunillia
19=Ullini Aeshiora
2=Almash Ranoia
20=Ezeman Cabis
21=Ingi Iffimaira
22=Orkon Pungada
23=Olar Cassandos
24=Emeri Hitalei
25=Umtano Nilyar
26=Olo Manniver
27=Alginosius Vinfe
28=Aezeona Urpaga
29=Olshe Daricarma
3=Aldoman Gnassib
30=Aedon Henlinnie
31=Ultuna Almaishe
32=Inckeen Caebnus
33=Aelinmek Lattan
34=Izhmenias Rinat
35=Aeleon Manfalca
36=Onacken Mapwana
37=Ulnaga Mapeiri
38=Ivaon Selirre
39=Untanu Filonit
4=Aelfanai Caleonta
40=Urmelio Napoler
41=Avon Anileus
42=Aelckin Syasta
43=Asyanaverius
44=Alinn Hollmayar
45=Irassa Bufalan
46=Oltas Planaila
47=Uvain Angosheeba
48=Afeike Pranalca
49=Adacar Cailun
5=Imcala Vannant
50=Aeshma Umeckeise
6=Uliano Gicalma
7=Aelshi Bellamist
8=Uldafit Linnei
9=Ostias Perentine
